City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Vestmannaeyjar,IS,63.4427,-20.2734,35.6,55,40,25.28,scattered clouds
310,Divnomorskoye,RU,44.5011,38.1353,52.45,79,100,9.95,overcast clouds
311,Puerto Maldonado,PE,-12.6,-69.1833,71.62,98,100,5.88,moderate rain
312,Tooele,US,40.5308,-112.2983,26.6,73,1,3.04,clear sky
313,Pelym,RU,61.0108,61.9978,-9.85,90,98,5.37,overcast clouds
314,Rio Grande,BR,-32.035,-52.0986,72.0,98,7,9.53,clear sky
315,Disna,BY,55.568,28.1971,29.12,96,100,9.01,light snow
316,Aljezur,PT,37.3191,-8.8033,41.0,46,99,10.0,overcast clouds
317,Kargopol,RU,61.5071,38.9456,16.36,97,86,3.31,overcast clouds
318,Alugan,PH,12.2188,125.4808,79.74,85,73,11.01,broken clouds
319,Roros,NO,62.5747,11.3842,-16.6,68,20,5.68,few clouds
320,Doha,QA,25.2867,51.5333,75.2,57,0,8.05,clear sky
321,Lagoa,PT,39.05,-27.9833,56.25,67,100,38.5,light rain
322,Fremont,US,37.5483,-121.9886,46.4,93,1,0.96,clear sky
323,Dali,CN,25.7,100.1833,60.96,44,91,8.84,overcast clouds
324,Caravelas,BR,-17.7125,-39.2481,77.94,77,2,4.45,clear sky
325,Burnie,AU,-41.0667,145.9167,63.0,86,93,4.0,overcast clouds
326,Vardo,NO,70.3705,31.1107,24.8,79,0,29.97,clear sky
327,Quelimane,MZ,-17.8786,36.8883,95.0,56,20,4.7,few clouds
328,Kajaani,FI,64.2273,27.7285,15.8,92,90,2.24,mist
329,Rawson,AR,-43.3002,-65.1023,63.32,71,0,20.8,clear sky
330,Tortoli,IT,39.9256,9.6572,48.0,61,75,9.17,broken clouds
331,Verkhoyansk,RU,67.5447,133.385,-33.0,78,13,2.62,few clouds
332,Antalaha,MG,-14.9003,50.2788,83.93,67,1,10.89,clear sky
333,Khorramabad,IR,33.4878,48.3558,53.6,17,20,2.17,few clouds
